"dt_sin_pri","n.casos"
2020-02-28,2
2020-03-01,2
2020-03-02,1
2020-03-03,2
2020-03-04,1
2020-03-05,1
2020-03-08,2
2020-03-09,3
2020-03-10,10
2020-03-11,4
2020-03-12,7
2020-03-13,12
2020-03-14,11
2020-03-15,18
2020-03-16,15
2020-03-17,19
2020-03-18,20
2020-03-19,22
2020-03-20,34
2020-03-21,41
2020-03-22,25
2020-03-23,44
2020-03-24,24
2020-03-25,48
2020-03-26,32
2020-03-27,44
2020-03-28,55
2020-03-29,50
2020-03-30,63
2020-03-31,47
2020-04-01,95
2020-04-02,80
2020-04-03,87
2020-04-04,80
2020-04-05,81
2020-04-06,86
2020-04-07,87
2020-04-08,85
2020-04-09,96
2020-04-10,111
2020-04-11,103
2020-04-12,119
2020-04-13,121
2020-04-14,103
2020-04-15,136
2020-04-16,105
2020-04-17,110
2020-04-18,136
2020-04-19,110
2020-04-20,157
2020-04-21,89
2020-04-22,107
2020-04-23,96
2020-04-24,84
2020-04-25,79
2020-04-26,67
2020-04-27,83
2020-04-28,56
2020-04-29,38
2020-04-30,41
2020-05-01,67
2020-05-02,47
2020-05-03,28
2020-05-04,33
2020-05-05,28
2020-05-06,11
2020-05-07,12
2020-05-08,5
2020-05-09,7
2020-05-10,8
2020-05-11,3
2020-05-13,4
2020-05-15,2
2020-05-16,1
